Year	Authors	Title	Subtitle	ISBN number	Place of publishing	Publisher	Type of document (genre)	Language	Number of pages
2017		Bitīte Maija	krāsojam!	9789934164248	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Barbie	krāso un risini!	9789934164231	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Disney Ledus sirds. Ziemeļblāzmas burvība	uzdevumu grāmata	9789934164163	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	24
2017		Sofija Pirmā	princeses krāso!; ar uzlīmēm	9789934163982	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Disney Princeses	izkrāso stāstus!; ar uzlīmēm	9789934164187	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Auto un moto	krāsojamā grāmata	9789934164347	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Troļļi	krāsojam mandalas!	9789934164354	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Ašais vilcieniņš		9789934163739	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		Darbīgā ugunsdzēsēju mašīnīte		9789934163746	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	8
2017		My Litlle Pony	uzdevumu bloknots; Krāso. Spēlējies. Risini	9789934164156	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	96
2017		Mana košā un priecīgā pārsteigumu grāmata	48 zīmējumi krāsošanai	9789934163708	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	48
2017		Mans Zoodārzs	izkrāso pats!	9789934210068	Rīga	J.L.V.	Praktiskā, attīstošā literatūra bērniem	Latviešu	20
2017		Kukainīt, mans kukainīt!	krāso un pēti!	9789934200588	Rīga	JUMAVA	Praktiskā, attīstošā literatūra bērniem	Latviešu	16
2017		Vāģi 3	Gāzi grīdā!	9789934163890	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	48
2017		Ko-ko?		9789934070334	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	13
2017		Mū! Mmū-ū-ū!		9789934070341	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	13
2017		Vau, vau!		9789934070358	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	13
2017		Ņau, ņau!		9789934070365	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	13
2017		Automobiļi un motocikli	uzlīmes	9789934068126	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Darba mašīnas	uzlīmes	9789934068102	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Smagie auto	uzlīmes	9789934068119	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Traktori	uzlīmes	9789934068096	Rīga	Apgāds Zvaigzne ABC	Praktiskā, attīstošā literatūra bērniem	Latviešu	12
2017		Paw patrol	krāsojam!; ar uzlīmēm	9789934164217	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Paw patrol	uzdevumi; ar uzlīmēm	9789934164224	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	28
2017		Nejaukais Es 3	uzlīmju grāmata	9789934163968	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Nejaukais Es 3	rosīgā grāmata	9789934163951	Rīga	Egmont Latvija	Praktiskā, attīstošā literatūra bērniem	Latviešu	36
2017		Auto ABC		9789934164415	Rīga	EGMONT LATVIJA	Praktiskā, attīstošā literatūra bērniem	Latviešu	32
